Team Name;Year;Wins;Losses;OT Losses;Win %;Goals For (GF);Goals Against (GA);+ / -;goals_ratio;victory_percentage
Boston Bruins;1990;44;24;;0.55;299;264;35;1.1325757575757576;
Buffalo Sabres;1990;31;30;;0.388;292;278;14;1.0503597122302157;
Calgary Flames;1990;46;26;;0.575;344;263;81;1.3079847908745248;
Chicago Blackhawks;1990;49;23;;0.613;284;211;73;1.3459715639810426;
Detroit Red Wings;1990;34;38;;0.425;273;298;-25;0.9161073825503355;
Edmonton Oilers;1990;37;37;;0.463;272;272;0;1.0;
Hartford Whalers;1990;31;38;;0.388;238;276;-38;0.8623188405797102;
Los Angeles Kings;1990;46;24;;0.575;340;254;86;1.3385826771653544;
Minnesota North Stars;1990;27;39;;0.338;256;266;-10;0.9624060150375939;
Montreal Canadiens;1990;39;30;;0.487;273;249;24;1.0963855421686748;
New Jersey Devils;1990;32;33;;0.4;272;264;8;1.0303030303030303;
New York Islanders;1990;25;45;;0.312;223;290;-67;0.7689655172413793;
New York Rangers;1990;36;31;;0.45;297;265;32;1.120754716981132;
Philadelphia Flyers;1990;33;37;;0.412;252;267;-15;0.9438202247191011;
Pittsburgh Penguins;1990;41;33;;0.512;342;305;37;1.1213114754098361;
Quebec Nordiques;1990;16;50;;0.2;236;354;-118;0.6666666666666666;
St. Louis Blues;1990;47;22;;0.588;310;250;60;1.24;
Toronto Maple Leafs;1990;23;46;;0.287;241;318;-77;0.7578616352201258;
Vancouver Canucks;1990;28;43;;0.35;243;315;-72;0.7714285714285715;
Washington Capitals;1990;37;36;;0.463;258;258;0;1.0;
Winnipeg Jets;1990;26;43;;0.325;260;288;-28;0.9027777777777778;
Boston Bruins;1991;36;32;;0.45;270;275;-5;0.9818181818181818;
Buffalo Sabres;1991;31;37;;0.388;289;299;-10;0.9665551839464883;
Calgary Flames;1991;31;37;;0.388;296;305;-9;0.9704918032786886;
Chicago Blackhawks;1991;36;29;;0.45;257;236;21;1.0889830508474576;
Detroit Red Wings;1991;43;25;;0.537;320;256;64;1.25;
Edmonton Oilers;1991;36;34;;0.45;295;297;-2;0.9932659932659933;
Hartford Whalers;1991;26;41;;0.325;247;283;-36;0.872791519434629;
Los Angeles Kings;1991;35;31;;0.438;287;296;-9;0.9695945945945946;
Minnesota North Stars;1991;32;42;;0.4;246;278;-32;0.8848920863309353;
Montreal Canadiens;1991;41;28;;0.512;267;207;60;1.289855072463768;
New Jersey Devils;1991;38;31;;0.475;289;259;30;1.1158301158301158;
New York Islanders;1991;34;35;;0.425;291;299;-8;0.9732441471571907;
New York Rangers;1991;50;25;;0.625;321;246;75;1.3048780487804879;
Philadelphia Flyers;1991;32;37;;0.4;252;273;-21;0.9230769230769231;
Pittsburgh Penguins;1991;39;32;;0.487;343;308;35;1.1136363636363635;
Quebec Nordiques;1991;20;48;;0.25;255;318;-63;0.8018867924528302;
San Jose Sharks;1991;17;58;;0.212;219;359;-140;0.6100278551532033;
St. Louis Blues;1991;36;33;;0.45;279;266;13;1.0488721804511278;
Toronto Maple Leafs;1991;30;43;;0.375;234;294;-60;0.7959183673469388;
Vancouver Canucks;1991;42;26;;0.525;285;250;35;1.14;
Washington Capitals;1991;45;27;;0.562;330;275;55;1.2;
Winnipeg Jets;1991;33;32;;0.412;251;244;7;1.028688524590164;
Boston Bruins;1992;51;26;;0.607;332;268;64;1.2388059701492538;
Buffalo Sabres;1992;38;36;;0.452;335;297;38;1.127946127946128;
Calgary Flames;1992;43;30;;0.512;322;282;40;1.1418439716312057;
Chicago Blackhawks;1992;47;25;;0.56;279;230;49;1.2130434782608697;
Detroit Red Wings;1992;47;28;;0.56;369;280;89;1.3178571428571428;
Edmonton Oilers;1992;26;50;;0.31;242;337;-95;0.7181008902077152;
Hartford Whalers;1992;26;52;;0.31;284;369;-85;0.7696476964769647;
Los Angeles Kings;1992;39;35;;0.464;338;340;-2;0.9941176470588236;
Minnesota North Stars;1992;36;38;;0.429;272;293;-21;0.9283276450511946;
Montreal Canadiens;1992;48;30;;0.571;326;280;46;1.1642857142857144;
New Jersey Devils;1992;40;37;;0.476;308;299;9;1.0301003344481605;
New York Islanders;1992;40;37;;0.476;335;297;38;1.127946127946128;
New York Rangers;1992;34;39;;0.405;304;308;-4;0.987012987012987;
Ottawa Senators;1992;10;70;;0.119;202;395;-193;0.5113924050632911;
Philadelphia Flyers;1992;36;37;;0.429;319;319;0;1.0;
Pittsburgh Penguins;1992;56;21;;0.667;367;268;99;1.3694029850746268;
Quebec Nordiques;1992;47;27;;0.56;351;300;51;1.17;
San Jose Sharks;1992;11;71;;0.131;218;414;-196;0.5265700483091788;
St. Louis Blues;1992;37;36;;0.44;282;278;4;1.014388489208633;
Tampa Bay Lightning;1992;23;54;;0.274;245;332;-87;0.7379518072289156;
